sector,date,value,index
small-cap,20/05/2020,359.36,80.29852747
small-cap,21/05/2020,358.93,80.20244453
small-cap,22/05/2020,359.19,80.26054119
small-cap,23/05/2020,,0
small-cap,24/05/2020,,0
small-cap,25/05/2020,361.63,80.80575604
small-cap,26/05/2020,371.12,82.92628427
small-cap,27/05/2020,376.62,84.15525216
small-cap,28/05/2020,375.36,83.87370679
small-cap,29/05/2020,374.95,83.78209282
small-cap,30/05/2020,,0
small-cap,31/05/2020,,0
small-cap,01/06/2020,379.88,84.88369495
small-cap,02/06/2020,384.55,85.92720041
small-cap,03/06/2020,393.21,87.86226622
small-cap,04/06/2020,394.39,88.12593569
small-cap,05/06/2020,404.18,90.31349854
small-cap,06/06/2020,,0
small-cap,07/06/2020,,0
small-cap,08/06/2020,410.75,91.78155654
small-cap,09/06/2020,404.51,90.38723661
small-cap,10/06/2020,397.63,88.8499095
small-cap,11/06/2020,375.02,83.79773423
small-cap,12/06/2020,378.15,84.49712868
small-cap,13/06/2020,,0
small-cap,14/06/2020,,0
small-cap,15/06/2020,381.07,85.14959891
small-cap,16/06/2020,390.68,87.29694099
small-cap,17/06/2020,387.69,86.62882935
small-cap,18/06/2020,387.04,86.48358769
small-cap,19/06/2020,385.4,86.11713181
small-cap,20/06/2020,,0
small-cap,21/06/2020,,0
small-cap,22/06/2020,386.9,86.45230487
small-cap,23/06/2020,390.22,87.19415458
small-cap,24/06/2020,379.04,84.69599803
small-cap,25/06/2020,380.55,85.03340558
small-cap,26/06/2020,375.44,83.89158269
small-cap,27/06/2020,,0
small-cap,28/06/2020,,0
small-cap,29/06/2020,380.09,84.93061918
small-cap,30/06/2020,384.08,85.82217952
small-cap,01/07/2020,383.25,85.63671709
small-cap,02/07/2020,385.23,86.07914553
small-cap,03/07/2020,385.61,86.16405604
small-cap,04/07/2020,,0
small-cap,05/07/2020,,0
small-cap,06/07/2020,390.36,87.2254374
small-cap,07/07/2020,385.56,86.15288361
small-cap,08/07/2020,386.56,86.37633231
small-cap,09/07/2020,381.87,85.32835788
small-cap,10/07/2020,384.86,85.99646951
small-cap,11/07/2020,,0
small-cap,12/07/2020,,0
small-cap,13/07/2020,383.69,85.73503452
small-cap,14/07/2020,385.79,86.20427681
small-cap,15/07/2020,396.2,88.53037785
small-cap,16/07/2020,393.86,88.00750788
small-cap,17/07/2020,394.78,88.21308069
small-cap,18/07/2020,,0
small-cap,19/07/2020,,0
small-cap,20/07/2020,395.59,88.39407414
small-cap,21/07/2020,400.47,89.48450383
small-cap,22/07/2020,401.62,89.74146985
small-cap,23/07/2020,401.72,89.76381472
small-cap,24/07/2020,398.02,88.9370545
small-cap,25/07/2020,,0
small-cap,26/07/2020,,0
small-cap,27/07/2020,402.16,89.86213215
small-cap,28/07/2020,399.89,89.35490358
small-cap,29/07/2020,404.57,90.40064353
small-cap,30/07/2020,401.85,89.79286305
small-cap,31/07/2020,398.85,89.12251693
small-cap,01/08/2020,,0
small-cap,02/08/2020,,0
small-cap,03/08/2020,403.68,90.20177418
small-cap,04/08/2020,407.22,90.99278261
small-cap,05/08/2020,414.01,92.50999933
small-cap,06/08/2020,412.91,92.26420575
small-cap,07/08/2020,414.42,92.6016133
small-cap,08/08/2020,,0
small-cap,09/08/2020,,0
small-cap,10/08/2020,416.19,92.99711751
small-cap,11/08/2020,416.87,93.14906263
small-cap,12/08/2020,419.08,93.64288428
small-cap,13/08/2020,419.78,93.79929837
small-cap,14/08/2020,418.62,93.54009787
small-cap,15/08/2020,,0
small-cap,16/08/2020,,0
small-cap,17/08/2020,420.27,93.90878824
small-cap,18/08/2020,418.68,93.55350479
small-cap,19/08/2020,418.32,93.47306326
small-cap,20/08/2020,415.62,92.86975175
small-cap,21/08/2020,414.19,92.5502201
small-cap,22/08/2020,,0
small-cap,23/08/2020,,0
small-cap,24/08/2020,418.63,93.54233236
small-cap,25/08/2020,419.08,93.64288428
small-cap,26/08/2020,419.63,93.76578106
small-cap,27/08/2020,419.54,93.74567068
small-cap,28/08/2020,422.71,94.45400308
small-cap,29/08/2020,,0
small-cap,30/08/2020,,0
small-cap,31/08/2020,421.12,94.09871964
small-cap,01/09/2020,422.92,94.50092731
small-cap,02/09/2020,425.54,95.08636293
small-cap,03/09/2020,416.12,92.9814761
small-cap,04/09/2020,412.4,92.15024691
small-cap,05/09/2020,,0
small-cap,06/09/2020,,0
small-cap,07/09/2020,414.18,92.54798561
small-cap,08/09/2020,408.2,91.21176234
small-cap,09/09/2020,411.78,92.01170871
small-cap,10/09/2020,409.23,91.44191451
small-cap,11/09/2020,407.92,91.1491967
small-cap,12/09/2020,,0
small-cap,13/09/2020,,0
small-cap,14/09/2020,416.15,92.98817956
small-cap,15/09/2020,417.04,93.18704891
small-cap,16/09/2020,420.33,93.92219516
small-cap,17/09/2020,418.36,93.48200121
small-cap,18/09/2020,417.18,93.21833173
small-cap,19/09/2020,,0
small-cap,20/09/2020,,0
small-cap,21/09/2020,405.79,90.67325096
small-cap,22/09/2020,407.31,91.01289299
small-cap,23/09/2020,400.75,89.54706947
small-cap,24/09/2020,398.24,88.98621321
small-cap,25/09/2020,402.61,89.96268407
small-cap,26/09/2020,,0
small-cap,27/09/2020,,0
small-cap,28/09/2020,411.47,91.94243961
small-cap,29/09/2020,410.6,91.74803924
small-cap,30/09/2020,411.33,91.91115679
small-cap,01/10/2020,415.59,92.86304829
small-cap,02/10/2020,416.09,92.97477264
small-cap,03/10/2020,,0
small-cap,04/10/2020,,0
small-cap,05/10/2020,425.3,95.03273524
small-cap,06/10/2020,425.1,94.98804549
small-cap,07/10/2020,429.33,95.93323353
small-cap,08/10/2020,434,96.97673899
small-cap,09/10/2020,437.13,97.67613344
small-cap,10/10/2020,,0
small-cap,11/10/2020,,0
small-cap,12/10/2020,439.55,98.21687932
small-cap,13/10/2020,436.21,97.47056063
small-cap,14/10/2020,435.22,97.24934641
small-cap,15/10/2020,434.24,97.03036668
small-cap,16/10/2020,433.52,96.86948361
small-cap,17/10/2020,,0
small-cap,18/10/2020,,0
small-cap,19/10/2020,431.91,96.50973119
small-cap,20/10/2020,432.16,96.56559337
small-cap,21/10/2020,430.83,96.26840659
small-cap,22/10/2020,433.26,96.81138695
small-cap,23/10/2020,435.22,97.24934641
small-cap,24/10/2020,,0
small-cap,25/10/2020,,0
small-cap,26/10/2020,427.17,95.45058432
small-cap,27/10/2020,424.04,94.75118986
small-cap,28/10/2020,412.92,92.26644024
small-cap,29/10/2020,414.3,92.57479945
small-cap,30/10/2020,411.06,91.85082564
small-cap,31/10/2020,,0
small-cap,01/11/2020,,0
small-cap,02/11/2020,416.43,93.0507452
small-cap,03/11/2020,426.18,95.2293701
small-cap,04/11/2020,429.71,96.01814404
small-cap,05/11/2020,440.38,98.40234174
small-cap,06/11/2020,439.13,98.12303086
small-cap,07/11/2020,,0
small-cap,08/11/2020,,0
small-cap,09/11/2020,449.88,100.5251045
small-cap,10/11/2020,453.57,101.3496302
small-cap,11/11/2020,455.09,101.6892722
small-cap,12/11/2020,450.83,100.7373807
small-cap,13/11/2020,456.01,101.894845
small-cap,14/11/2020,,0
small-cap,15/11/2020,,0
small-cap,16/11/2020,465.1,103.9259938
small-cap,17/11/2020,466.28,104.1896633
small-cap,18/11/2020,463.76,103.6265725
small-cap,19/11/2020,465,103.9036489
small-cap,20/11/2020,466.74,104.2924497
small-cap,21/11/2020,,0
small-cap,22/11/2020,,0
small-cap,23/11/2020,471.52,105.3605345
small-cap,24/11/2020,478.44,106.9067995
small-cap,25/11/2020,477.34,106.661006
small-cap,26/11/2020,477.75,106.7526199
small-cap,27/11/2020,480.98,107.4743593
small-cap,28/11/2020,,0
small-cap,29/11/2020,,0
small-cap,30/11/2020,473.87,105.885639
small-cap,01/12/2020,479.16,107.0676826
small-cap,02/12/2020,479.44,107.1302483
small-cap,03/12/2020,483.94,108.1357674
small-cap,04/12/2020,490.54,109.6105289
small-cap,05/12/2020,,0
small-cap,06/12/2020,,0
small-cap,07/12/2020,488.46,109.1457556
small-cap,08/12/2020,491.05,109.7244877
small-cap,09/12/2020,490.48,109.597122
small-cap,10/12/2020,492.09,109.9568744
small-cap,11/12/2020,490.18,109.5300874
small-cap,12/12/2020,,0
small-cap,13/12/2020,,0
small-cap,14/12/2020,491.08,109.7311912
small-cap,15/12/2020,498.58,111.4070565
small-cap,16/12/2020,499.4,111.5902845
small-cap,17/12/2020,505.04,112.8505352
small-cap,18/12/2020,502.85,112.3611825
small-cap,19/12/2020,,0
small-cap,20/12/2020,,0
small-cap,21/12/2020,500.04,111.7332916
small-cap,22/12/2020,501.47,112.0528233
small-cap,23/12/2020,507.09,113.308605
small-cap,24/12/2020,508.05,113.5231158
small-cap,25/12/2020,508.36,113.5923849
small-cap,26/12/2020,,0
small-cap,27/12/2020,,0
small-cap,28/12/2020,507.54,113.4091569
small-cap,29/12/2020,505.99,113.0628114
small-cap,30/12/2020,509.49,113.8448819
small-cap,31/12/2020,508.26,113.57004
small-cap,01/01/2021,508.26,113.57004
small-cap,02/01/2021,,0
small-cap,03/01/2021,,0
small-cap,04/01/2021,504.55,112.7410453
small-cap,05/01/2021,510.18,113.9990615
small-cap,06/01/2021,521.57,116.5441423
small-cap,07/01/2021,528.26,118.0390141
small-cap,08/01/2021,529.16,118.240118
small-cap,09/01/2021,,0
small-cap,10/01/2021,,0
small-cap,11/01/2021,526.42,117.6278685
small-cap,12/01/2021,532.6,119.0087815
small-cap,13/01/2021,531.1,118.6736085
small-cap,14/01/2021,537.31,120.0612249
small-cap,15/01/2021,530.06,118.4412218
small-cap,16/01/2021,,0
small-cap,17/01/2021,,0
small-cap,18/01/2021,530.48,118.5350703
small-cap,19/01/2021,534.78,119.4958997
small-cap,20/01/2021,538.53,120.3338324
small-cap,21/01/2021,537.16,120.0277076
small-cap,22/01/2021,537.81,120.1729493
small-cap,23/01/2021,,0
small-cap,24/01/2021,,0
small-cap,25/01/2021,535.28,119.6076241
small-cap,26/01/2021,534.03,119.3283132
small-cap,27/01/2021,524.5,117.198847
small-cap,28/01/2021,525.69,117.464751
small-cap,29/01/2021,518.58,115.8760307
small-cap,30/01/2021,,0
small-cap,31/01/2021,,0
small-cap,01/02/2021,527.07,117.7731102
small-cap,02/02/2021,532.89,119.0735817
small-cap,03/02/2021,535.95,119.7573347
small-cap,04/02/2021,540.97,120.8790472
small-cap,05/02/2021,547.12,122.2532568
small-cap,06/02/2021,,0
small-cap,07/02/2021,,0
small-cap,08/02/2021,556.66,124.3849574
small-cap,09/02/2021,558.34,124.7603513
small-cap,10/02/2021,557.5,124.5726543
small-cap,11/02/2021,558.69,124.8385583
small-cap,12/02/2021,560.01,125.1335106
small-cap,13/02/2021,,0
small-cap,14/02/2021,,0
small-cap,15/02/2021,562.37,125.6608496
small-cap,16/02/2021,560.97,125.3480214
small-cap,17/02/2021,555.59,124.1458673
small-cap,18/02/2021,548.28,122.5124573
small-cap,19/02/2021,556.32,124.3089849
small-cap,20/02/2021,,0
small-cap,21/02/2021,,0
small-cap,22/02/2021,555.52,124.1302259
small-cap,23/02/2021,553.69,123.7213148
small-cap,24/02/2021,560.33,125.2050142
small-cap,25/02/2021,550.01,122.8990235
small-cap,26/02/2021,544.06,121.5695037
small-cap,27/02/2021,,0
small-cap,28/02/2021,,0
small-cap,01/03/2021,557.04,124.4698679
small-cap,02/03/2021,551.33,123.1939758
small-cap,03/03/2021,548.84,122.6375885
small-cap,04/03/2021,538.35,120.2936116
small-cap,05/03/2021,542.36,121.1896409
small-cap,06/03/2021,,0
small-cap,07/03/2021,,0
small-cap,08/03/2021,544.9,121.7572006
small-cap,09/03/2021,552.15,123.3772038
small-cap,10/03/2021,557.18,124.5011508
small-cap,11/03/2021,567.04,126.704355
small-cap,12/03/2021,569.49,127.2518043
small-cap,13/03/2021,,0
small-cap,14/03/2021,,0
small-cap,15/03/2021,573.08,128.0539852
small-cap,16/03/2021,569.65,127.2875561
small-cap,17/03/2021,571.04,127.5981498
small-cap,18/03/2021,563.73,125.9647398
small-cap,19/03/2021,564.88,126.2217058
small-cap,20/03/2021,,0
small-cap,21/03/2021,,0
small-cap,22/03/2021,562.7,125.7345876
small-cap,23/03/2021,549.39,122.7604853
small-cap,24/03/2021,541.81,121.0667441
small-cap,25/03/2021,548.05,122.4610641
small-cap,26/03/2021,556.88,124.4341161
small-cap,27/03/2021,,0
small-cap,28/03/2021,,0
small-cap,29/03/2021,548.37,122.5325676
small-cap,30/03/2021,552.55,123.4665832
small-cap,31/03/2021,554.52,123.9067772
small-cap,01/04/2021,562.01,125.580408
small-cap,02/04/2021,562.31,125.6474426
small-cap,03/04/2021,,0
small-cap,04/04/2021,,0
small-cap,05/04/2021,565.34,126.3244922
small-cap,06/04/2021,566.72,126.6328514
small-cap,07/04/2021,564.24,126.0786986
small-cap,08/04/2021,566.76,126.6417894
small-cap,09/04/2021,567.45,126.795969
small-cap,10/04/2021,,0
small-cap,11/04/2021,,0
small-cap,12/04/2021,566.6,126.6060376
small-cap,13/04/2021,567.18,126.7356378
small-cap,14/04/2021,570.49,127.4752531
small-cap,15/04/2021,573.7,128.1925234
small-cap,16/04/2021,576.24,128.7600831
small-cap,17/04/2021,,0
small-cap,18/04/2021,,0
small-cap,19/04/2021,573.59,128.167944
small-cap,20/04/2021,564.28,126.0876366
small-cap,21/04/2021,569.91,127.3456528
small-cap,22/04/2021,570.71,127.5244118
small-cap,23/04/2021,576.54,128.8271177
small-cap,24/04/2021,,0
small-cap,25/04/2021,,0
small-cap,26/04/2021,582.07,130.0627891
small-cap,27/04/2021,581.95,130.0359752
small-cap,28/04/2021,582.28,130.1097133
small-cap,29/04/2021,581.66,129.9711751
small-cap,30/04/2021,575.46,128.5857931
small-cap,01/05/2021,,0
small-cap,02/05/2021,,0
small-cap,03/05/2021,,0
small-cap,04/05/2021,578.39,129.2404978
small-cap,05/05/2021,572.67,127.9623712
small-cap,06/05/2021,573.62,128.1746475
small-cap,07/05/2021,574.25,128.3154202
small-cap,08/05/2021,582.25,130.1030099
small-cap,09/05/2021,,0
small-cap,10/05/2021,,0
small-cap,11/05/2021,576.49,128.8159453
small-cap,12/05/2021,570.2,127.4104529
small-cap,13/05/2021,556.08,124.2553572
small-cap,14/05/2021,559.04,124.9167654
small-cap,15/05/2021,569.91,127.3456528
small-cap,16/05/2021,,0
small-cap,17/05/2021,,0
small-cap,18/05/2021,570.36,127.4462047
small-cap,19/05/2021,570.56,127.4908945
small-cap,20/05/2021,565.14,126.2798025
small-cap,21/05/2021,568.91,127.1222041
small-cap,22/05/2021,570.01,127.3679977
small-cap,23/05/2021,,0
small-cap,24/05/2021,,0
small-cap,25/05/2021,572.9,128.0137644
small-cap,26/05/2021,570.66,127.5132393
small-cap,27/05/2021,575.57,128.6103725
small-cap,28/05/2021,578.24,129.2069805
small-cap,29/05/2021,579.24,129.4304292
small-cap,30/05/2021,,0
small-cap,31/05/2021,579.44,129.475119
small-cap,01/06/2021,584.47,130.599066
small-cap,02/06/2021,584.68,130.6459902
small-cap,03/06/2021,580.83,129.7857127
small-cap,04/06/2021,583.99,130.4918106
small-cap,05/06/2021,,0
small-cap,06/06/2021,,0
small-cap,07/06/2021,588.11,131.4124193
small-cap,08/06/2021,592.11,132.3062141
small-cap,09/06/2021,588.91,131.5911782
small-cap,10/06/2021,587.44,131.2627086
small-cap,11/06/2021,590.57,131.9621031
small-cap,12/06/2021,,0
small-cap,13/06/2021,,0
small-cap,14/06/2021,589.07,131.62693
small-cap,15/06/2021,587.23,131.2157844
small-cap,16/06/2021,585.92,130.9230666
small-cap,17/06/2021,577.16,128.9656559
small-cap,18/06/2021,567.52,126.8116104
small-cap,19/06/2021,,0
small-cap,20/06/2021,,0
small-cap,21/06/2021,574.7,128.4159721
small-cap,22/06/2021,577.61,129.0662079
small-cap,23/06/2021,578.83,129.3388153
small-cap,24/06/2021,582.71,130.2057963
small-cap,25/06/2021,586.59,131.0727772
small-cap,26/06/2021,,0
small-cap,27/06/2021,,0
small-cap,28/06/2021,582.82,130.2303756
small-cap,29/06/2021,580.98,129.81923
small-cap,30/06/2021,580.03,129.6069537
small-cap,01/07/2021,,0
small-cap,02/07/2021,583.39,130.3577414
small-cap,03/07/2021,582.18,130.0873684
small-cap,04/07/2021,,0
small-cap,05/07/2021,,0
small-cap,06/07/2021,583.54,130.3912587
small-cap,07/07/2021,578.1,129.1756977
small-cap,08/07/2021,575.49,128.5924966
small-cap,09/07/2021,570,127.3657632
small-cap,10/07/2021,578.73,129.3164704
small-cap,11/07/2021,,0
small-cap,12/07/2021,,0
small-cap,13/07/2021,581.16,129.8594508
small-cap,14/07/2021,575.15,128.516524
small-cap,15/07/2021,570.34,127.4417357
small-cap,16/07/2021,566.03,126.4786718
small-cap,17/07/2021,560.96,125.3457869
small-cap,18/07/2021,,0
small-cap,19/07/2021,,0
small-cap,20/07/2021,550.56,123.0219203
small-cap,21/07/2021,559.62,125.0463656
small-cap,22/07/2021,568.91,127.1222041
small-cap,23/07/2021,566.74,126.6373204
small-cap,24/07/2021,569.36,127.222756
small-cap,25/07/2021,,0
small-cap,26/07/2021,,0
small-cap,27/07/2021,572.44,127.910978
small-cap,28/07/2021,569.75,127.309901
small-cap,29/07/2021,573.64,128.1791165
small-cap,30/07/2021,578.82,129.3365808
small-cap,31/07/2021,575.78,128.6572967
small-cap,01/08/2021,,0
small-cap,02/08/2021,577.2,128.9745939
small-cap,03/08/2021,578.11,129.1779322
small-cap,04/08/2021,574.23,128.3109512
small-cap,05/08/2021,579.8,129.5555605
small-cap,06/08/2021,579.42,129.47065
small-cap,07/08/2021,,0
small-cap,08/08/2021,,0
small-cap,09/08/2021,577.32,129.0014077
small-cap,10/08/2021,579.1,129.3991464
small-cap,11/08/2021,582.62,130.1856859
small-cap,12/08/2021,582.09,130.0672581
small-cap,13/08/2021,581.34,129.8996715
small-cap,14/08/2021,,0
small-cap,15/08/2021,,0
small-cap,16/08/2021,576.94,128.9164972
small-cap,17/08/2021,569.91,127.3456528
small-cap,18/08/2021,568.61,127.0551695
small-cap,19/08/2021,561.36,125.4351664
small-cap,20/08/2021,565.61,126.3848234
small-cap,21/08/2021,,0
small-cap,22/08/2021,,0
small-cap,23/08/2021,574.32,128.3310616
small-cap,24/08/2021,579.98,129.5957813
small-cap,25/08/2021,582.24,130.1007754
small-cap,26/08/2021,578.69,129.3075325
small-cap,27/08/2021,588.43,131.4839229
small-cap,28/08/2021,,0
small-cap,29/08/2021,,0
small-cap,30/08/2021,588.83,131.5733023
small-cap,31/08/2021,589.24,131.6649163
small-cap,01/09/2021,592.62,132.4201729
small-cap,02/09/2021,596.74,133.3407816
small-cap,03/09/2021,596.51,133.2893884
small-cap,04/09/2021,,0
small-cap,05/09/2021,,0
small-cap,06/09/2021,597.02,133.4033473
small-cap,07/09/2021,593.05,132.5162559
small-cap,08/09/2021,587.84,131.3520881
small-cap,09/09/2021,587.93,131.3721985
small-cap,10/09/2021,585.56,130.8426251
small-cap,11/09/2021,,0
small-cap,12/09/2021,,0
small-cap,13/09/2021,587.74,131.3297433
small-cap,14/09/2021,584.37,130.5767211
small-cap,15/09/2021,586.29,131.0057426
small-cap,16/09/2021,585.36,130.7979353
small-cap,17/09/2021,583.94,130.4806382
small-cap,18/09/2021,,0
small-cap,19/09/2021,,0
small-cap,20/09/2021,573.48,128.1433647
small-cap,21/09/2021,573.59,128.167944
small-cap,22/09/2021,579.45,129.4773535
small-cap,23/09/2021,587.22,131.2135499
small-cap,24/09/2021,585.01,130.7197283
small-cap,25/09/2021,,0
small-cap,26/09/2021,,0
small-cap,27/09/2021,588.46,131.4906263
small-cap,28/09/2021,576.66,128.8539316
small-cap,29/09/2021,573.56,128.1612406
small-cap,30/09/2021,569.98,127.3612942
small-cap,01/10/2021,574.19,128.3020133
small-cap,02/10/2021,,0
small-cap,03/10/2021,,0
small-cap,04/10/2021,570.32,127.4372668
small-cap,05/10/2021,571.34,127.6651845
small-cap,06/10/2021,567.6,126.8294863
small-cap,07/10/2021,574.79,128.4360825
small-cap,08/10/2021,573.07,128.0517507
small-cap,09/10/2021,,0
small-cap,10/10/2021,,0
small-cap,11/10/2021,571.06,127.6026188
small-cap,12/10/2021,572.7,127.9690747
small-cap,13/10/2021,576.01,128.7086899
small-cap,14/10/2021,583.94,130.4806382
small-cap,15/10/2021,585.78,130.8917838
small-cap,16/10/2021,,0
small-cap,17/10/2021,,0
small-cap,18/10/2021,585.65,130.8627355
small-cap,19/10/2021,588.6,131.5219091
small-cap,20/10/2021,591.16,132.0939378
small-cap,21/10/2021,591.94,132.2682278
small-cap,22/10/2021,592.18,132.3218555
small-cap,23/10/2021,,0
small-cap,24/10/2021,,0
small-cap,25/10/2021,594.28,132.7910978
small-cap,26/10/2021,592.52,132.3978281
small-cap,27/10/2021,585.15,130.7510111
small-cap,28/10/2021,593,132.5050835
small-cap,29/10/2021,590.21,131.8816616
small-cap,30/10/2021,,0
small-cap,31/10/2021,,0
small-cap,01/11/2021,601.3,134.3597077
small-cap,02/11/2021,599.42,133.9396242
small-cap,03/11/2021,605.39,135.2736129
small-cap,04/11/2021,606.06,135.4233236
small-cap,05/11/2021,610.33,136.3774496
small-cap,06/11/2021,,0
small-cap,07/11/2021,,0
small-cap,08/11/2021,611.89,136.7260295
small-cap,09/11/2021,609.85,136.2701942
small-cap,10/11/2021,602.36,134.5965634
small-cap,11/11/2021,604.2,135.007709
small-cap,12/11/2021,605.92,135.3920408
small-cap,13/11/2021,,0
small-cap,14/11/2021,,0
small-cap,15/11/2021,605.75,135.3540545
small-cap,16/11/2021,604.51,135.0769781
small-cap,17/11/2021,599.69,133.9999553
small-cap,18/11/2021,597.59,133.530713
small-cap,19/11/2021,594.28,132.7910978
small-cap,20/11/2021,,0
small-cap,21/11/2021,,0
small-cap,22/11/2021,591.59,132.1900208
small-cap,23/11/2021,588.53,131.5062677
small-cap,24/11/2021,587.05,131.1755636
small-cap,25/11/2021,588.36,131.4682815
small-cap,26/11/2021,572.33,127.8863987
small-cap,27/11/2021,,0
small-cap,28/11/2021,,0
small-cap,29/11/2021,571.14,127.6204947
small-cap,30/11/2021,561.13,125.3837732
small-cap,01/12/2021,556.7,124.3938954
small-cap,02/12/2021,563.09,125.8217326
small-cap,03/12/2021,556.25,124.2933435
small-cap,04/12/2021,,0
small-cap,05/12/2021,,0
small-cap,06/12/2021,563.36,125.8820638
small-cap,07/12/2021,575.85,128.6729381
small-cap,08/12/2021,578.78,129.3276428
small-cap,09/12/2021,571.18,127.6294327
small-cap,10/12/2021,569.39,127.2294595
small-cap,11/12/2021,,0
small-cap,12/12/2021,,0
small-cap,13/12/2021,563.26,125.8597189
small-cap,14/12/2021,558.81,124.8653722
small-cap,15/12/2021,562.83,125.763636
small-cap,16/12/2021,560.61,125.2675798
small-cap,17/12/2021,560.88,125.327911
small-cap,18/12/2021,,0
small-cap,19/12/2021,,0
small-cap,20/12/2021,551.44,123.2185552
small-cap,21/12/2021,563.72,125.9625053
small-cap,22/12/2021,569.67,127.2920251
